hh,n_nodes,n_edges,density,diameter,avg_clustering,sars_positive,hh_ar
J008,6,15,1.0,1,1.0,4,0
J009,2,1,1.0,1,0.0,2,0
J010,3,3,1.0,1,1.0,1,0
J020,5,10,1.0,1,1.0,3,0
J021,3,3,1.0,1,1.0,1,0
J022,3,3,1.0,1,1.0,1,0
J023,6,15,1.0,1,1.0,2,0
J024,3,3,1.0,1,1.0,1,0
J027,5,7,0.7,2,0.7666666666666666,3,0
J029,3,3,1.0,1,1.0,2,0
J030,3,3,1.0,1,1.0,1,0
J031,2,1,1.0,1,0.0,1,0
J033,5,10,1.0,1,1.0,1,0
J037,4,6,1.0,1,1.0,4,0
J039,6,15,1.0,1,1.0,5,0
J041,5,10,1.0,1,1.0,4,0
J042,3,3,1.0,1,1.0,2,0
J043,6,14,0.9333333333333333,2,0.9333333333333332,5,0
J044,7,21,1.0,1,1.0,6,0
J047,3,3,1.0,1,1.0,3,0
J048,5,10,1.0,1,1.0,1,0
J050,4,6,1.0,1,1.0,4,0
J053,3,3,1.0,1,1.0,1,0
J054,4,6,1.0,1,1.0,4,0
J055,2,1,1.0,1,0.0,2,0
J057,4,6,1.0,1,1.0,4,0
J059,5,10,1.0,1,1.0,3,0
J063,5,10,1.0,1,1.0,4,0
J064,3,3,1.0,1,1.0,3,0
J067,5,10,1.0,1,1.0,5,0
J068,2,1,1.0,1,0.0,1,0
J070,4,6,1.0,1,1.0,4,0
J072,2,1,1.0,1,0.0,1,0
J073,3,2,0.6666666666666666,2,0.0,2,0
J075,3,3,1.0,1,1.0,2,0
J076,2,1,1.0,1,0.0,2,0
J077,4,4,0.6666666666666666,2,0.5833333333333333,1,0
S004,3,3,1.0,1,1.0,1,0
S005,3,3,1.0,1,1.0,1,0
S006,6,15,1.0,1,1.0,3,0
S007,8,28,1.0,1,1.0,5,0
S008,3,3,1.0,1,1.0,2,0
S009,3,3,1.0,1,1.0,3,0
S011,5,10,1.0,1,1.0,3,0
S012,3,3,1.0,1,1.0,3,0
S015,4,6,1.0,1,1.0,4,0
S016,3,3,1.0,1,1.0,2,0
S018,4,6,1.0,1,1.0,4,0
S020,2,1,1.0,1,0.0,1,0
S021,6,15,1.0,1,1.0,3,0
S023,3,3,1.0,1,1.0,3,0
S026,6,14,0.9333333333333333,2,0.9333333333333332,2,0
S028,5,10,1.0,1,1.0,3,0
S030,2,1,1.0,1,0.0,1,0
S031,4,5,0.8333333333333334,2,0.8333333333333333,2,0
S032,2,1,1.0,1,0.0,1,0
S033,4,4,0.6666666666666666,2,0.5833333333333333,3,0
S036,4,6,1.0,1,1.0,3,0
S039,4,6,1.0,1,1.0,4,0
S040,4,6,1.0,1,1.0,4,0
S044,3,3,1.0,1,1.0,2,0
S045,6,15,1.0,1,1.0,5,0
S046,2,1,1.0,1,0.0,2,0
S047,2,1,1.0,1,0.0,1,0
S048,4,3,0.5,3,0.0,4,0
S049,4,4,0.6666666666666666,2,0.5833333333333333,1,0
S050,5,10,1.0,1,1.0,3,0
S051,2,1,1.0,1,0.0,1,0
S052,3,3,1.0,1,1.0,2,0
S053,3,3,1.0,1,1.0,3,0
S056,3,3,1.0,1,1.0,3,0
S057,4,5,0.8333333333333334,2,0.8333333333333333,3,0
S060,4,6,1.0,1,1.0,1,0
S061,5,10,1.0,1,1.0,5,0
S062,5,9,0.9,2,0.9,4,0
S063,4,5,0.8333333333333334,2,0.8333333333333333,4,0
S064,3,3,1.0,1,1.0,3,0
S067,4,6,1.0,1,1.0,3,0
S070,3,3,1.0,1,1.0,3,0
S071,6,12,0.8,2,0.7277777777777777,6,0
S072,6,15,1.0,1,1.0,5,0
S073,4,5,0.8333333333333334,2,0.8333333333333333,4,0
S074,4,6,1.0,1,1.0,4,0
S075,4,6,1.0,1,1.0,4,0
S078,3,3,1.0,1,1.0,1,0
S079,5,10,1.0,1,1.0,5,0
S080,3,3,1.0,1,1.0,1,0
S081,2,1,1.0,1,0.0,1,0
