budget_k_pct,budget_k_nodes,strategy,precision_k_pct,recall_k_pct,transmission_coverage,dynamic_duration_coverage_pct,dynamic_contact_event_coverage_pct,lcc_reduction_pct
1,3,random,71.7,0.9,1.7,1.8,1.9,0.9
1,3,degree,100.0,1.2,2.4,11.5,7.9,0.0
1,3,betweenness,66.7,0.8,0.3,4.0,3.5,0.0
1,3,gnn,100.0,1.2,0.7,1.1,1.0,0.0
5,17,random,70.8,5.0,9.7,9.6,9.7,4.8
5,17,degree,64.7,4.6,8.4,38.8,29.8,0.0
5,17,betweenness,64.7,4.6,6.3,7.0,7.0,0.0
5,17,gnn,100.0,7.1,11.5,9.0,7.3,0.0
10,34,random,70.7,10.0,19.2,19.0,19.1,8.9
10,34,degree,64.7,9.1,17.1,56.9,48.3,0.0
10,34,betweenness,70.6,10.0,16.4,8.3,8.2,12.5
10,34,gnn,94.1,13.3,19.9,20.0,17.3,0.0
