Louvain Community Id,Community Color,R,G,B
0,#E05555,224,85,85
1,#557EE0,85,126,224
2,#A6E055,166,224,85
3,#E055CF,224,85,207
4,#55E0C9,85,224,201
5,#E0A155,224,161,85
6,#7855E0,120,85,224
7,#5BE055,91,224,85
8,#E05584,224,85,132
9,#55ACE0,85,172,224
10,#D5E055,213,224,85
11,#C355E0,195,85,224
12,#55E09B,85,224,155
13,#E07255,224,114,85
14,#5561E0,85,97,224
15,#8AE055,138,224,85
16,#E055B2,224,85,178
17,#55DBE0,85,219,224
18,#E0BD55,224,189,85
19,#9555E0,149,85,224
20,#55E06C,85,224,108
21,#E05567,224,85,103
22,#5590E0,85,144,224
23,#B8E055,184,224,85
24,#E055E0,224,85,224
25,#55E0B7,85,224,183
26,#E08F55,224,143,85
27,#6655E0,102,85,224
28,#6DE055,109,224,85
29,#E05596,224,85,150
30,#55BEE0,85,190,224
31,#E0DA55,224,218,85
32,#B155E0,177,85,224
33,#55E089,85,224,137
34,#E06055,224,96,85
35,#5573E0,85,115,224
36,#9BE055,155,224,85
37,#E055C4,224,85,196
38,#55E0D4,85,224,212
39,#E0AC55,224,172,85
40,#8355E0,131,85,224
41,#55E05A,85,224,90
42,#E05579,224,85,121
43,#55A1E0,85,161,224
44,#CAE055,202,224,85
45,#CE55E0,206,85,224
46,#55E0A6,85,224,166
47,#E07D55,224,125,85
48,#5556E0,85,86,224
49,#7FE055,127,224,85
50,#E055A7,224,85,167
51,#55D0E0,85,208,224
52,#E0C855,224,200,85
53,#A055E0,160,85,224
54,#55E077,85,224,119
55,#E0555C,224,85,92
56,#5585E0,85,133,224
57,#ADE055,173,224,85
58,#E055D6,224,85,214
59,#55E0C2,85,224,194
60,#E09A55,224,154,85
61,#7155E0,113,85,224
62,#62E055,98,224,85
63,#E0558B,224,85,139
64,#55B3E0,85,179,224
65,#DCE055,220,224,85
66,#BC55E0,188,85,224
67,#55E094,85,224,148
68,#E06B55,224,107,85
69,#5568E0,85,104,224
70,#91E055,145,224,85
71,#E055B9,224,85,185
72,#55E0DF,85,224,223
73,#E0B755,224,183,85
74,#8E55E0,142,85,224
75,#55E065,85,224,101
76,#E0556E,224,85,110
77,#5596E0,85,150,224
78,#BFE055,191,224,85
79,#D955E0,217,85,224
80,#55E0B1,85,224,177
81,#E08855,224,136,85
82,#5F55E0,95,85,224
83,#74E055,116,224,85
84,#E0559C,224,85,156
85,#55C5E0,85,197,224
86,#E0D355,224,211,85
87,#AB55E0,171,85,224
